2009,Aaden,M,1267
1994,Aaliyah,F,1451
1995,Aaliyah,F,1255
1997,Aaliyah,F,1739
1998,Aaliyah,F,1399
1999,Aaliyah,F,1088
2000,Aaliyah,F,1496
2001,Aaliyah,F,3352
2002,Aaliyah,F,4778
2003,Aaliyah,F,3672
2004,Aaliyah,F,3488
2005,Aaliyah,F,3456
2006,Aaliyah,F,3743
2007,Aaliyah,F,3956
2008,Aaliyah,F,4039
2009,Aaliyah,F,4369
2010,Aaliyah,F,4662
1990,Aaron,M,14551
1991,Aaron,M,14242
1992,Aaron,M,14505
1993,Aaron,M,13828
1994,Aaron,M,14382
1995,Aaron,M,13288
1996,Aaron,M,11969
1997,Aaron,M,11168
1998,Aaron,M,10547
1999,Aaron,M,9853
2000,Aaron,M,9553
2001,Aaron,M,9535
2002,Aaron,M,9001
2003,Aaron,M,8865
2004,Aaron,M,8389
2005,Aaron,M,7802
2006,Aaron,M,8296
2007,Aaron,M,8935
2008,Aaron,M,8537
2009,Aaron,M,7969
2010,Aaron,M,7461
1990,Abby,F,1293
1991,Abby,F,1173
1992,Abby,F,1082
1993,Abby,F,1176
1994,Abby,F,1372
1995,Abby,F,1378
1996,Abby,F,1417
1997,Abby,F,1564
1998,Abby,F,1607
1999,Abby,F,1809
2000,Abby,F,1566
2001,Abby,F,1986
2002,Abby,F,1961
2003,Abby,F,2048
2004,Abby,F,2023
2005,Abby,F,1753
2006,Abby,F,1685
2007,Abby,F,1577
2008,Abby,F,1330
2009,Abby,F,1279
2010,Abby,F,1148
2010,Abel,M,1126
1990,Abigail,F,3718
1991,Abigail,F,3798
1992,Abigail,F,3987
1993,Abigail,F,5184
1994,Abigail,F,7240
1995,Abigail,F,7821
1996,Abigail,F,8604
1997,Abigail,F,9626
1998,Abigail,F,11099
1999,Abigail,F,11681
2000,Abigail,F,13088
2001,Abigail,F,14807
2002,Abigail,F,15297
2003,Abigail,F,15925
2004,Abigail,F,15424
2005,Abigail,F,15749
2006,Abigail,F,15627
2007,Abigail,F,15468
2008,Abigail,F,15081
2009,Abigail,F,14387
2010,Abigail,F,14243
1990,Abraham,M,1133
1991,Abraham,M,1161
1992,Abraham,M,1142
1993,Abraham,M,1169
1994,Abraham,M,1223
1995,Abraham,M,1287
1996,Abraham,M,1336
1997,Abraham,M,1428
1998,Abraham,M,1542
1999,Abraham,M,1586
2000,Abraham,M,1680
2001,Abraham,M,1818
2002,Abraham,M,1797
2003,Abraham,M,1894
2004,Abraham,M,1986
2005,Abraham,M,2045
2006,Abraham,M,2203
2007,Abraham,M,2141
2008,Abraham,M,2147
2009,Abraham,M,2105
2010,Abraham,M,1923
2010,Adalyn,F,1267
1990,Adam,M,14707
1991,Adam,M,12301
1992,Adam,M,11901
1993,Adam,M,11530
1994,Adam,M,11018
1995,Adam,M,10483
1996,Adam,M,9555
1997,Adam,M,8802
1998,Adam,M,8357
1999,Adam,M,8223
2000,Adam,M,8133
2001,Adam,M,7752
2002,Adam,M,7749
2003,Adam,M,7683
2004,Adam,M,7471
2005,Adam,M,6840
2006,Adam,M,6796
2007,Adam,M,6786
2008,Adam,M,6092
2009,Adam,M,5670
2010,Adam,M,5102
2004,Adan,M,1113
2005,Adan,M,1155
2006,Adan,M,1098
2007,Adan,M,1080
2008,Adan,M,1111
2009,Adan,M,1123
2001,Addison,F,1162
2002,Addison,F,1455
2003,Addison,F,1704
2004,Addison,F,2054
2005,Addison,F,3023
2006,Addison,F,7620
2007,Addison,F,11946
2008,Addison,F,10759
2009,Addison,F,10659
2010,Addison,F,10324
2007,Addyson,F,1381
2008,Addyson,F,1429
2009,Addyson,F,1455
2010,Addyson,F,1618
2004,Aden,M,1034
2005,Aden,M,1199
2006,Aden,M,1404
2007,Aden,M,1314
2008,Aden,M,1389
2009,Aden,M,1371
2010,Aden,M,1172
1990,Adrian,M,3999
1991,Adrian,M,3920
1992,Adrian,M,3858
1993,Adrian,M,3753
1994,Adrian,M,3814
1995,Adrian,M,3910
1996,Adrian,M,4108
1997,Adrian,M,4114
1998,Adrian,M,5429
1999,Adrian,M,5066
2000,Adrian,M,5339
2001,Adrian,M,5424
2002,Adrian,M,5681
2003,Adrian,M,6110
2004,Adrian,M,6138
2005,Adrian,M,6721
2006,Adrian,M,7381
2007,Adrian,M,7733
2008,Adrian,M,7927
2009,Adrian,M,7631
2010,Adrian,M,7405
1990,Adriana,F,2150
1991,Adriana,F,2241
1992,Adriana,F,2203
1993,Adriana,F,2076
1994,Adriana,F,2167
1995,Adriana,F,2066
1996,Adriana,F,2102
1997,Adriana,F,2551
1998,Adriana,F,2475
1999,Adriana,F,2303
2000,Adriana,F,2680
2001,Adriana,F,2640
2002,Adriana,F,2383
2003,Adriana,F,2839
2004,Adriana,F,2829
2005,Adriana,F,2704
2006,Adriana,F,3095
2007,Adriana,F,2926
2008,Adriana,F,2726
2009,Adriana,F,2568
2010,Adriana,F,2463
1996,Adrianna,F,1048
1997,Adrianna,F,2007
1998,Adrianna,F,1614
1999,Adrianna,F,1469
2000,Adrianna,F,1446
2001,Adrianna,F,1490
2002,Adrianna,F,1445
2003,Adrianna,F,1553
2004,Adrianna,F,1616
2005,Adrianna,F,1768
2006,Adrianna,F,1960
2007,Adrianna,F,2077
2008,Adrianna,F,1904
2009,Adrianna,F,1913
2010,Adrianna,F,1775
1990,Adrienne,F,1210
1991,Adrienne,F,1107
1996,Aidan,M,1093
1997,Aidan,M,1381
1998,Aidan,M,1703
1999,Aidan,M,2213
2000,Aidan,M,3295
2001,Aidan,M,4632
2002,Aidan,M,6952
2003,Aidan,M,10062
2004,Aidan,M,9821
2005,Aidan,M,9758
2006,Aidan,M,10034
2007,Aidan,M,8420
2008,Aidan,M,7698
2009,Aidan,M,5808
2010,Aidan,M,4306
2001,Aiden,M,1586
2002,Aiden,M,2832
2003,Aiden,M,5684
2004,Aiden,M,7159
2005,Aiden,M,9081
2006,Aiden,M,11583
2007,Aiden,M,13101
2008,Aiden,M,15578
2009,Aiden,M,16017
2010,Aiden,M,15535
1990,Aimee,F,1019
2000,Alaina,F,1004
2001,Alaina,F,1006
2002,Alaina,F,1002
2003,Alaina,F,1126
2004,Alaina,F,1207
2005,Alaina,F,1282
2006,Alaina,F,1361
2007,Alaina,F,1538
2008,Alaina,F,1503
2009,Alaina,F,1315
2010,Alaina,F,1497
1990,Alan,M,2640
1991,Alan,M,2543
1992,Alan,M,2606
1993,Alan,M,2561
1994,Alan,M,2433
1995,Alan,M,2293
1996,Alan,M,2446
1997,Alan,M,2177
1998,Alan,M,2138
1999,Alan,M,2248
2000,Alan,M,2414
2001,Alan,M,2643
2002,Alan,M,2623
2003,Alan,M,3097
2004,Alan,M,3062
2005,Alan,M,3204
2006,Alan,M,3473
2007,Alan,M,3249
2008,Alan,M,3026
2009,Alan,M,2843
2010,Alan,M,2512
1996,Alana,F,1155
1997,Alana,F,1038
1998,Alana,F,1218
1999,Alana,F,1246
2000,Alana,F,1279
2001,Alana,F,1233
2002,Alana,F,1391
2003,Alana,F,1620
2004,Alana,F,1912
2005,Alana,F,1973
2006,Alana,F,2118
2007,Alana,F,2459
2008,Alana,F,2034
2009,Alana,F,1902
2010,Alana,F,1817
2004,Alayna,F,1062
2005,Alayna,F,1149
2006,Alayna,F,1216
2007,Alayna,F,1246
2008,Alayna,F,1177
2009,Alayna,F,1186
2010,Alayna,F,1333
1990,Albert,M,1827
1991,Albert,M,1697
1992,Albert,M,1505
1993,Albert,M,1433
1994,Albert,M,1384
1995,Albert,M,1329
1996,Albert,M,1301
1997,Albert,M,1177
1998,Albert,M,1155
1999,Albert,M,1116
2000,Albert,M,1086
2001,Albert,M,1091
1990,Alberto,M,1353
1991,Alberto,M,1420
1992,Alberto,M,1348
1993,Alberto,M,1378
1994,Alberto,M,1313
1995,Alberto,M,1293
1996,Alberto,M,1247
1997,Alberto,M,1272
1998,Alberto,M,1238
1999,Alberto,M,1198
2000,Alberto,M,1199
2001,Alberto,M,1241
2002,Alberto,M,1229
2003,Alberto,M,1126
2004,Alberto,M,1124
2005,Alberto,M,1137
2006,Alberto,M,1015
2007,Alberto,M,1040
1991,Alec,M,1538
1992,Alec,M,1867
1993,Alec,M,2090
1994,Alec,M,3320
1995,Alec,M,3421
1996,Alec,M,3308
1997,Alec,M,3137
1998,Alec,M,3356
1999,Alec,M,2891
2000,Alec,M,2479
2001,Alec,M,2155
2002,Alec,M,1748
2003,Alec,M,1525
2004,Alec,M,1333
2005,Alec,M,1127
1990,Alejandra,F,1376
1991,Alejandra,F,1640
1992,Alejandra,F,2043
1993,Alejandra,F,2125
1994,Alejandra,F,2185
1995,Alejandra,F,2000
1996,Alejandra,F,1955
1997,Alejandra,F,1905
1998,Alejandra,F,2020
1999,Alejandra,F,1753
2000,Alejandra,F,1860
2001,Alejandra,F,1717
2002,Alejandra,F,1694
2003,Alejandra,F,1667
2004,Alejandra,F,1629
2005,Alejandra,F,1583
2006,Alejandra,F,1487
2007,Alejandra,F,1373
2008,Alejandra,F,1329
2009,Alejandra,F,1199
2010,Alejandra,F,1188
1990,Alejandro,M,2638
1991,Alejandro,M,2786
1992,Alejandro,M,3175
1993,Alejandro,M,3532
1994,Alejandro,M,3467
1995,Alejandro,M,3527
1996,Alejandro,M,3676
1997,Alejandro,M,3997
1998,Alejandro,M,4043
1999,Alejandro,M,4319
2000,Alejandro,M,4509
2001,Alejandro,M,4554
2002,Alejandro,M,4355
2003,Alejandro,M,4317
2004,Alejandro,M,4450
2005,Alejandro,M,4478
2006,Alejandro,M,4549
2007,Alejandro,M,4278
2008,Alejandro,M,4165
2009,Alejandro,M,3439
2010,Alejandro,M,3710
1990,Alex,M,6943
1991,Alex,M,6672
1992,Alex,M,7348
1993,Alex,M,7637
1994,Alex,M,7240
1995,Alex,M,7423
1996,Alex,M,6911
1997,Alex,M,6855
1998,Alex,M,6951
1999,Alex,M,6826
2000,Alex,M,6746
2001,Alex,M,6614
2002,Alex,M,6806
2003,Alex,M,6792
2004,Alex,M,6810
2005,Alex,M,6482
2006,Alex,M,6670
2007,Alex,M,6271
2008,Alex,M,5395
